,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Team Heretics Fan Token,TH-USD,2020-11-10,1.765757,1.774759,1.706723,1.763831,84623.0
1,Team Heretics Fan Token,TH-USD,2020-11-11,1.763724,1.774942,1.687425,1.700991,84443.0
2,Team Heretics Fan Token,TH-USD,2020-11-12,1.701011,1.712224,1.605802,1.657206,80914.0
3,Team Heretics Fan Token,TH-USD,2020-11-13,1.657217,1.763282,1.657188,1.71992,80640.0
4,Team Heretics Fan Token,TH-USD,2020-11-14,1.719914,1.727696,1.655795,1.676871,82657.0
5,Team Heretics Fan Token,TH-USD,2020-11-15,1.676962,1.695068,1.63523,1.660997,79656.0
6,Team Heretics Fan Token,TH-USD,2020-11-16,1.660987,1.766358,1.633943,1.721999,83066.0
7,Team Heretics Fan Token,TH-USD,2020-11-17,1.728487,1.741256,1.66369,1.689802,83150.0
8,Team Heretics Fan Token,TH-USD,2020-11-18,1.689936,1.705533,1.582138,1.620508,85979.0
9,Team Heretics Fan Token,TH-USD,2020-11-19,1.620672,1.648083,1.578007,1.604484,76028.0
10,Team Heretics Fan Token,TH-USD,2020-11-20,1.604387,1.696464,1.602808,1.645001,80752.0
11,Team Heretics Fan Token,TH-USD,2020-11-21,1.644954,1.74514,1.633287,1.733253,81876.0
12,Team Heretics Fan Token,TH-USD,2020-11-22,1.733267,1.740381,1.645083,1.689177,80962.0
13,Team Heretics Fan Token,TH-USD,2020-11-23,1.688194,1.850161,1.667747,1.779554,89103.0
14,Team Heretics Fan Token,TH-USD,2020-11-24,1.780336,1.921623,1.674708,1.745169,89398.0
15,Team Heretics Fan Token,TH-USD,2020-11-25,1.745637,2.251689,1.388229,2.081452,103571.0
16,Team Heretics Fan Token,TH-USD,2020-11-26,2.088848,2.16029,1.702779,1.845903,87984.0
17,Team Heretics Fan Token,TH-USD,2020-11-27,1.847579,1.884461,1.73512,1.761662,87340.0
18,Team Heretics Fan Token,TH-USD,2020-11-28,1.762444,1.82561,1.724494,1.762228,83807.0
19,Team Heretics Fan Token,TH-USD,2020-11-29,1.762054,1.800278,1.713555,1.788279,81532.0
20,Team Heretics Fan Token,TH-USD,2020-11-30,1.788295,1.85558,1.726825,1.824571,76931.0
21,Team Heretics Fan Token,TH-USD,2020-12-01,1.824511,1.965232,1.765836,1.83259,71361.0
22,Team Heretics Fan Token,TH-USD,2020-12-02,1.832995,2.018278,1.789128,1.944893,94307.0
23,Team Heretics Fan Token,TH-USD,2020-12-03,1.946078,1.986335,1.882056,1.959868,93838.0
24,Team Heretics Fan Token,TH-USD,2020-12-04,1.956915,1.960815,1.834862,1.843746,0.0
25,Team Heretics Fan Token,TH-USD,2020-12-05,1.843738,1.899877,1.818755,1.894343,0.0
26,Team Heretics Fan Token,TH-USD,2020-12-06,1.894448,1.916755,1.845644,1.896773,0.0
27,Team Heretics Fan Token,TH-USD,2020-12-07,1.896255,1.942983,1.889697,1.916192,0.0
28,Team Heretics Fan Token,TH-USD,2020-12-08,1.91646,1.918557,1.822115,1.838603,0.0
29,Team Heretics Fan Token,TH-USD,2020-12-09,1.838445,1.838856,1.728228,1.825314,0.0
30,Team Heretics Fan Token,TH-USD,2020-12-10,1.824439,1.82582,1.763502,1.804331,0.0
31,Team Heretics Fan Token,TH-USD,2020-12-11,1.804076,1.885756,1.711121,1.858812,0.0
32,Team Heretics Fan Token,TH-USD,2020-12-12,1.861962,1.913074,1.822078,1.856021,0.0
33,Team Heretics Fan Token,TH-USD,2020-12-13,1.85574,1.901531,1.830719,1.877001,0.0
34,Team Heretics Fan Token,TH-USD,2020-12-14,1.878635,2.440995,1.871925,2.201259,0.0
35,Team Heretics Fan Token,TH-USD,2020-12-15,2.20137,2.276551,1.904569,2.04571,98578.0
36,Team Heretics Fan Token,TH-USD,2020-12-16,2.044111,2.061354,1.918316,2.050654,95087.0
