,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-15,0.013834,0.015219,0.013571,0.01504,32619.0
1,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-16,0.01504,0.015639,0.013325,0.014493,45854.0
2,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-17,0.014493,0.015265,0.013633,0.014238,74884.0
3,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-18,0.014238,0.014433,0.012204,0.012699,15798.0
4,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-19,0.012712,0.013062,0.012046,0.012754,4682.0
5,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-20,0.012754,0.013382,0.011799,0.011859,12193.0
6,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-21,0.01186,0.012781,0.010512,0.011677,32518.0
7,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-22,0.011685,0.012185,0.010223,0.010829,28182.0
8,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-23,0.010829,0.01309,0.010291,0.011397,37629.0
9,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-24,0.011397,0.011564,0.010436,0.010555,10412.0
10,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-25,0.010555,0.011372,0.010433,0.01064,9748.0
11,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-26,0.01064,0.011297,0.010184,0.010662,5226.0
12,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-27,0.010669,0.010866,0.009069,0.009105,7172.0
13,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-28,0.009105,0.009823,0.008314,0.008334,11953.0
14,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-29,0.008334,0.010075,0.007683,0.00847,13051.0
15,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-06-30,0.00847,0.009777,0.007817,0.008906,10035.0
16,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-01,0.008906,0.011922,0.008119,0.010789,39360.0
17,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-02,0.010789,0.011553,0.010399,0.011113,14474.0
18,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-03,0.011113,0.011281,0.009372,0.009459,9999.0
19,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-04,0.009459,0.010445,0.009085,0.009888,10761.0
20,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-05,0.009888,0.010106,0.008493,0.008688,9124.0
21,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-06,0.008678,0.00905,0.008233,0.008524,8127.0
22,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-07,0.008524,0.009899,0.006928,0.006936,25479.0
23,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-08,0.006936,0.008653,0.006437,0.008435,24570.0
24,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-09,0.008435,0.009478,0.007871,0.008135,19741.0
25,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-10,0.008135,0.011274,0.008132,0.009282,19964.0
26,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-11,0.009281,0.010419,0.008662,0.009357,17656.0
27,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-12,0.009357,0.009751,0.008173,0.008592,12141.0
28,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-13,0.008592,0.010965,0.007505,0.00823,93302.0
29,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-14,0.008238,0.008575,0.007295,0.007443,35642.0
30,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-15,0.007443,0.007938,0.006872,0.007181,9445.0
31,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-16,0.007181,0.007386,0.005959,0.00606,12544.0
32,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-17,0.00606,0.006764,0.00541,0.005756,9277.0
33,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-18,0.005756,0.006274,0.005401,0.005479,6703.0
34,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-19,0.005479,0.006356,0.004885,0.005572,12711.0
35,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-20,0.005572,0.006587,0.005321,0.005798,6948.0
36,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-21,0.005798,0.007746,0.005694,0.006578,9834.0
37,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-22,0.006598,0.007364,0.005798,0.00708,9424.0
38,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-23,0.00708,0.007168,0.006253,0.006695,7625.0
39,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-24,0.006695,0.00702,0.005441,0.005666,30653.0
40,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-25,0.005666,0.006365,0.00527,0.005493,9527.0
41,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-26,0.005493,0.005608,0.005229,0.005354,3502.0
42,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-27,0.005358,0.0054,0.004497,0.005011,5304.0
43,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-28,0.005011,0.005235,0.004134,0.004448,4031.0
44,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-29,0.004448,0.004678,0.003729,0.0045,3832.0
45,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-30,0.0045,0.004689,0.00396,0.004189,3672.0
46,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-07-31,0.004192,0.004497,0.004,0.004427,3497.0
47,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-01,0.004427,0.004441,0.003654,0.003908,3790.0
48,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-02,0.003908,0.004316,0.003406,0.003666,5723.0
49,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-03,0.003666,0.004208,0.003496,0.00361,3233.0
50,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-04,0.00361,0.004263,0.003461,0.004145,3927.0
51,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-05,0.004145,0.004229,0.003421,0.003835,2848.0
52,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-06,0.003835,0.004035,0.003598,0.003787,2923.0
53,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-07,0.003824,0.003992,0.003547,0.003794,2086.0
54,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-08,0.003794,0.003894,0.003498,0.003635,2451.0
55,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-09,0.003635,0.003892,0.003323,0.003419,1464.0
56,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-10,0.003419,0.003714,0.002793,0.002835,1799.0
57,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-11,0.002835,0.003383,0.002676,0.002758,1768.0
58,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-12,0.002759,0.003311,0.002734,0.002848,1306.0
59,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-13,0.002848,0.00371,0.002848,0.003221,3269.0
60,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-14,0.003221,0.003519,0.003198,0.003458,2129.0
61,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-15,0.003463,0.00351,0.002904,0.003297,2367.0
62,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-16,0.003297,0.003492,0.002846,0.003195,3184.0
63,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-17,0.003198,0.004329,0.003024,0.003923,5963.0
64,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-18,0.003923,0.00435,0.00326,0.0036,2324.0
65,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-19,0.003602,0.003966,0.003319,0.003698,7035.0
66,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-20,0.003698,0.004363,0.003546,0.003933,1679.0
67,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-21,0.003929,0.004369,0.003607,0.003719,2604.0
68,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-22,0.003719,0.004118,0.003658,0.003658,2259.0
69,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-23,0.003658,0.004066,0.003464,0.003843,4164.0
70,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-24,0.003843,0.004068,0.003285,0.003739,4015.0
71,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-25,0.003739,0.003746,0.003399,0.003548,2311.0
72,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-26,0.003546,0.003557,0.003104,0.003404,1213.0
73,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-27,0.003404,0.003442,0.003377,0.003387,1207.0
74,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-28,0.003386,0.003604,0.002735,0.003009,3397.0
75,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-29,0.003009,0.003356,0.002877,0.003162,2188.0
76,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-30,0.003162,0.003214,0.002829,0.003098,2205.0
77,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-08-31,0.003103,0.003337,0.002676,0.003111,3370.0
78,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-01,0.003111,0.003542,0.002736,0.002965,2458.0
79,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-02,0.002965,0.003444,0.002892,0.002927,1432.0
80,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-03,0.002928,0.003068,0.002678,0.002727,1886.0
81,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-04,0.002722,0.002934,0.002684,0.002881,961.0
82,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-05,0.002881,0.003367,0.002691,0.003327,8237.0
83,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-06,0.003326,0.003626,0.002946,0.003283,9557.0
84,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-07,0.003284,0.003472,0.002973,0.003259,8010.0
85,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-08,0.003263,0.003303,0.002979,0.003101,474.0
86,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-09,0.003101,0.003409,0.00306,0.003172,1094.0
87,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-10,0.003174,0.00344,0.002959,0.003233,2855.0
88,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-11,0.003233,0.003669,0.003131,0.003484,1851.0
89,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-12,0.003486,0.009922,0.003271,0.005839,72537.0
90,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-13,0.005839,0.012095,0.005274,0.010279,167224.0
91,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-14,0.010139,0.010506,0.007076,0.007527,58768.0
92,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-15,0.007527,0.007826,0.005726,0.00676,51788.0
93,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-16,0.00676,0.008772,0.004964,0.008772,149890.0
94,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-17,0.008772,0.008853,0.005974,0.006879,13498.0
95,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-18,0.006879,0.008915,0.006855,0.008294,16514.0
96,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-19,0.00829,0.008918,0.00656,0.007774,32707.0
97,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-20,0.007781,0.009811,0.006588,0.00773,21344.0
98,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-21,0.007732,0.008893,0.007535,0.008532,10487.0
99,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-22,0.008531,0.008863,0.006443,0.006642,19367.0
100,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-23,0.006642,0.009688,0.006636,0.008064,34670.0
101,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-24,0.008064,0.014065,0.00726,0.008593,39355.0
102,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-25,0.008595,0.010407,0.008408,0.010277,18372.0
103,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-26,0.010278,0.010372,0.008602,0.009211,12557.0
104,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-27,0.009199,0.010252,0.008883,0.009406,13315.0
105,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-28,0.009399,0.012149,0.008791,0.011948,34946.0
106,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-29,0.011949,0.01215,0.008804,0.009513,11292.0
107,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-09-30,0.009515,0.009898,0.008087,0.009381,11346.0
108,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-01,0.009386,0.013003,0.008663,0.01174,48819.0
109,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-02,0.01174,0.013539,0.011128,0.01238,24264.0
110,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-03,0.012379,0.013882,0.011205,0.012696,28735.0
111,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-04,0.012678,0.018818,0.011967,0.015892,56692.0
112,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-05,0.015892,0.021553,0.012522,0.020017,83382.0
113,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-06,0.020017,0.022963,0.016539,0.019595,54801.0
114,Turkiye Motosiklet Federasyonu Fan Token,TMFT-USD,2022-10-07,0.019595,0.021454,0.016358,0.020379,36533.0
