,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Bursaspor Fan Token,TMSH-USD,2022-06-15,0.007959,0.008346,0.00785,0.008316,3442.0
1,Bursaspor Fan Token,TMSH-USD,2022-06-16,0.008316,0.008417,0.007624,0.008024,3864.0
2,Bursaspor Fan Token,TMSH-USD,2022-06-17,0.008024,0.009134,0.007737,0.007949,6762.0
3,Bursaspor Fan Token,TMSH-USD,2022-06-18,0.007949,0.00809,0.007385,0.007768,1414.0
4,Bursaspor Fan Token,TMSH-USD,2022-06-19,0.007776,0.00903,0.007252,0.008297,6551.0
5,Bursaspor Fan Token,TMSH-USD,2022-06-20,0.008297,0.008939,0.007314,0.007754,2441.0
6,Bursaspor Fan Token,TMSH-USD,2022-06-21,0.007755,0.008819,0.007159,0.007429,4939.0
7,Bursaspor Fan Token,TMSH-USD,2022-06-22,0.007434,0.008468,0.00724,0.007419,2197.0
8,Bursaspor Fan Token,TMSH-USD,2022-06-23,0.007419,0.008666,0.007222,0.008409,5457.0
9,Bursaspor Fan Token,TMSH-USD,2022-06-24,0.008409,0.008725,0.007249,0.007876,1796.0
10,Bursaspor Fan Token,TMSH-USD,2022-06-25,0.007876,0.008507,0.007533,0.007703,1212.0
11,Bursaspor Fan Token,TMSH-USD,2022-06-26,0.007703,0.008281,0.007673,0.008112,1014.0
12,Bursaspor Fan Token,TMSH-USD,2022-06-27,0.008117,0.008565,0.00736,0.007512,962.0
13,Bursaspor Fan Token,TMSH-USD,2022-06-28,0.007512,0.008193,0.007399,0.007525,1485.0
14,Bursaspor Fan Token,TMSH-USD,2022-06-29,0.007525,0.007859,0.006859,0.007069,1835.0
15,Bursaspor Fan Token,TMSH-USD,2022-06-30,0.007069,0.008031,0.006625,0.007607,2783.0
16,Bursaspor Fan Token,TMSH-USD,2022-07-01,0.007607,0.007869,0.006522,0.007173,3018.0
17,Bursaspor Fan Token,TMSH-USD,2022-07-02,0.007173,0.007836,0.006655,0.006833,3582.0
18,Bursaspor Fan Token,TMSH-USD,2022-07-03,0.006833,0.00703,0.006127,0.006651,3442.0
19,Bursaspor Fan Token,TMSH-USD,2022-07-04,0.006651,0.006927,0.006395,0.006624,2854.0
20,Bursaspor Fan Token,TMSH-USD,2022-07-05,0.006624,0.006837,0.0059,0.006471,5164.0
21,Bursaspor Fan Token,TMSH-USD,2022-07-06,0.006464,0.006616,0.00576,0.005924,2612.0
22,Bursaspor Fan Token,TMSH-USD,2022-07-07,0.005924,0.006142,0.004871,0.005178,3187.0
23,Bursaspor Fan Token,TMSH-USD,2022-07-08,0.005178,0.005776,0.004778,0.005656,2061.0
24,Bursaspor Fan Token,TMSH-USD,2022-07-09,0.005656,0.006578,0.005443,0.005761,1773.0
