,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Trabzonspor Fan Token,TRA-USD,2020-11-10,1.183589,1.209597,1.136236,1.176868,55214.0
1,Trabzonspor Fan Token,TRA-USD,2020-11-11,1.176797,1.201799,1.157745,1.169532,56307.0
2,Trabzonspor Fan Token,TRA-USD,2020-11-12,1.169546,1.175007,1.117812,1.134537,54882.0
3,Trabzonspor Fan Token,TRA-USD,2020-11-13,1.134544,1.210449,1.134525,1.156279,61853.0
4,Trabzonspor Fan Token,TRA-USD,2020-11-14,1.156275,1.161507,1.007021,1.124459,62801.0
5,Trabzonspor Fan Token,TRA-USD,2020-11-15,1.124521,1.144761,1.083813,1.108039,52565.0
6,Trabzonspor Fan Token,TRA-USD,2020-11-16,1.108033,1.247423,1.002182,1.221048,73571.0
7,Trabzonspor Fan Token,TRA-USD,2020-11-17,1.150746,1.272567,1.097068,1.162587,63165.0
8,Trabzonspor Fan Token,TRA-USD,2020-11-18,1.162678,1.313758,1.101602,1.155677,57559.0
9,Trabzonspor Fan Token,TRA-USD,2020-11-19,1.155793,1.167179,1.004032,1.084398,60329.0
10,Trabzonspor Fan Token,TRA-USD,2020-11-20,1.084332,1.167296,1.063384,1.142216,54559.0
11,Trabzonspor Fan Token,TRA-USD,2020-11-21,1.142184,1.223559,1.137149,1.159843,59695.0
12,Trabzonspor Fan Token,TRA-USD,2020-11-22,1.159853,1.172468,1.053007,1.115352,56973.0
13,Trabzonspor Fan Token,TRA-USD,2020-11-23,1.114703,1.236136,1.085824,1.161745,58442.0
14,Trabzonspor Fan Token,TRA-USD,2020-11-24,1.162256,1.278822,1.135171,1.191746,61741.0
15,Trabzonspor Fan Token,TRA-USD,2020-11-25,1.192066,1.405016,1.010434,1.32517,107150.0
16,Trabzonspor Fan Token,TRA-USD,2020-11-26,1.329879,1.398479,1.075692,1.142969,69980.0
17,Trabzonspor Fan Token,TRA-USD,2020-11-27,1.144007,1.195012,1.099949,1.123364,60305.0
18,Trabzonspor Fan Token,TRA-USD,2020-11-28,1.123862,1.169102,1.066564,1.137077,52967.0
19,Trabzonspor Fan Token,TRA-USD,2020-11-29,1.136965,1.152596,1.096333,1.129011,53553.0
20,Trabzonspor Fan Token,TRA-USD,2020-11-30,1.129021,1.17972,1.090129,1.142395,54703.0
21,Trabzonspor Fan Token,TRA-USD,2020-12-01,1.142357,1.233155,1.118153,1.164576,44933.0
22,Trabzonspor Fan Token,TRA-USD,2020-12-02,1.164834,1.282578,1.136957,1.176955,59307.0
23,Trabzonspor Fan Token,TRA-USD,2020-12-03,1.177672,1.239539,1.136401,1.180008,61912.0
24,Trabzonspor Fan Token,TRA-USD,2020-12-04,1.17823,1.17823,1.094353,1.099651,0.0
25,Trabzonspor Fan Token,TRA-USD,2020-12-05,1.099646,1.133129,1.084745,1.129828,0.0
26,Trabzonspor Fan Token,TRA-USD,2020-12-06,1.12989,1.143195,1.100783,1.131277,0.0
