,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,UFC Fan Token,UFC11533-USD,2021-10-01,6.693761,7.201466,5.438582,6.391744,0
1,UFC Fan Token,UFC11533-USD,2021-10-02,6.376359,6.377891,5.187268,5.600327,0
2,UFC Fan Token,UFC11533-USD,2021-10-03,5.593495,6.120194,5.242772,5.999954,0
3,UFC Fan Token,UFC11533-USD,2021-10-04,5.997771,6.267401,5.544427,6.032929,0
4,UFC Fan Token,UFC11533-USD,2021-10-05,6.033451,6.225493,4.979541,5.496912,0
5,UFC Fan Token,UFC11533-USD,2021-10-06,5.507764,5.691872,4.865797,5.583752,0
6,UFC Fan Token,UFC11533-USD,2021-10-07,5.573435,6.071818,4.915744,5.912035,0
7,UFC Fan Token,UFC11533-USD,2021-10-08,5.880915,5.895893,5.001969,5.092856,0
8,UFC Fan Token,UFC11533-USD,2021-10-09,5.112265,5.527153,4.986443,5.292737,0
9,UFC Fan Token,UFC11533-USD,2021-10-10,5.317701,5.337772,4.864318,4.940744,0
10,UFC Fan Token,UFC11533-USD,2021-10-11,4.938716,5.508662,4.833596,5.00789,0
11,UFC Fan Token,UFC11533-USD,2021-10-12,5.007636,5.517955,4.833065,5.289876,0
12,UFC Fan Token,UFC11533-USD,2021-10-13,5.27979,5.489432,4.606386,5.262052,0
13,UFC Fan Token,UFC11533-USD,2021-10-14,5.262293,5.535303,4.980766,5.070398,0
14,UFC Fan Token,UFC11533-USD,2021-10-15,5.069056,5.174492,4.621047,4.693929,0
15,UFC Fan Token,UFC11533-USD,2021-10-16,4.689692,5.447867,4.560905,5.200863,0
16,UFC Fan Token,UFC11533-USD,2021-10-17,5.202671,5.250379,4.70805,4.844486,0
17,UFC Fan Token,UFC11533-USD,2021-10-18,4.843013,5.099391,4.552434,4.996066,0
18,UFC Fan Token,UFC11533-USD,2021-10-19,4.991425,5.131891,4.513294,4.886944,0
19,UFC Fan Token,UFC11533-USD,2021-10-20,4.886944,5.042692,4.691261,4.780877,0
20,UFC Fan Token,UFC11533-USD,2021-10-21,4.775527,4.956631,4.518386,4.570083,0
21,UFC Fan Token,UFC11533-USD,2021-10-22,4.576983,5.001112,4.54284,4.803506,0
22,UFC Fan Token,UFC11533-USD,2021-10-23,4.797657,4.975223,4.668704,4.830547,0
23,UFC Fan Token,UFC11533-USD,2021-10-24,4.842351,4.909533,4.557142,4.680749,0
24,UFC Fan Token,UFC11533-USD,2021-10-25,4.680564,4.864951,4.449482,4.68088,0
25,UFC Fan Token,UFC11533-USD,2021-10-26,4.682347,5.1271,4.293016,4.432849,0
26,UFC Fan Token,UFC11533-USD,2021-10-27,4.42937,4.723767,3.535894,4.002073,0
27,UFC Fan Token,UFC11533-USD,2021-10-28,4.018809,4.428772,3.829481,4.216513,0
28,UFC Fan Token,UFC11533-USD,2021-10-29,4.216438,4.731261,4.156716,4.528632,0
29,UFC Fan Token,UFC11533-USD,2021-10-30,4.535816,7.066674,2.251859,4.28006,0
30,UFC Fan Token,UFC11533-USD,2021-10-31,4.171002,5.227498,3.888603,4.16423,0
31,UFC Fan Token,UFC11533-USD,2021-11-01,4.165129,4.773735,3.841235,4.111057,0
32,UFC Fan Token,UFC11533-USD,2021-11-02,4.099684,4.704594,4.023012,4.313791,0
33,UFC Fan Token,UFC11533-USD,2021-11-03,4.318775,4.415727,3.919328,4.195368,0
34,UFC Fan Token,UFC11533-USD,2021-11-04,4.205118,4.507519,3.49475,4.303684,118918
35,UFC Fan Token,UFC11533-USD,2021-11-05,4.303877,4.537176,3.87479,4.095782,80596
36,UFC Fan Token,UFC11533-USD,2021-11-06,4.094027,4.407477,3.725583,3.847901,65463
37,UFC Fan Token,UFC11533-USD,2021-11-07,3.854518,4.316483,3.652716,4.040676,63292
38,UFC Fan Token,UFC11533-USD,2021-11-08,4.034604,4.145023,3.714792,3.930815,56668
39,UFC Fan Token,UFC11533-USD,2021-11-09,3.933296,4.506763,3.452901,4.236999,106554
40,UFC Fan Token,UFC11533-USD,2021-11-10,4.235806,4.623057,3.366737,3.950125,183027
41,UFC Fan Token,UFC11533-USD,2021-11-11,3.965693,4.187502,3.746188,4.063469,60899
42,UFC Fan Token,UFC11533-USD,2021-11-12,4.057415,4.412899,3.836442,4.14043,59508
43,UFC Fan Token,UFC11533-USD,2021-11-13,4.139172,4.5439,3.58405,3.92849,57526
44,UFC Fan Token,UFC11533-USD,2021-11-14,3.923537,4.090616,3.665847,3.840092,47558
45,UFC Fan Token,UFC11533-USD,2021-11-15,3.839711,4.062641,3.558973,3.745634,64754
46,UFC Fan Token,UFC11533-USD,2021-11-16,3.735747,3.735747,3.317498,3.461654,51178
47,UFC Fan Token,UFC11533-USD,2021-11-17,3.457558,3.621538,3.196456,3.505156,52246
48,UFC Fan Token,UFC11533-USD,2021-11-18,3.504298,3.525877,2.97958,3.065312,40227
49,UFC Fan Token,UFC11533-USD,2021-11-19,3.067946,3.453154,3.024136,3.344363,43869
50,UFC Fan Token,UFC11533-USD,2021-11-20,3.347706,3.996809,3.301351,3.48943,48298
51,UFC Fan Token,UFC11533-USD,2021-11-21,3.498048,3.506512,3.256727,3.259258,34828
52,UFC Fan Token,UFC11533-USD,2021-11-22,3.26677,3.313413,3.10824,3.234362,46112
53,UFC Fan Token,UFC11533-USD,2021-11-23,3.230825,3.383657,3.048822,3.130057,32719
54,UFC Fan Token,UFC11533-USD,2021-11-24,3.128232,3.886665,2.831114,3.067158,35982
55,UFC Fan Token,UFC11533-USD,2021-11-25,3.249798,3.693692,3.057819,3.367083,87153
56,UFC Fan Token,UFC11533-USD,2021-11-26,3.148463,3.295843,2.786034,3.042156,36716
57,UFC Fan Token,UFC11533-USD,2021-11-27,3.047504,3.16861,2.511727,2.854816,37369
58,UFC Fan Token,UFC11533-USD,2021-11-28,2.867882,2.926666,2.620931,2.84233,3745
59,UFC Fan Token,UFC11533-USD,2021-11-29,2.844239,3.327652,2.749652,3.003756,179027
60,UFC Fan Token,UFC11533-USD,2021-11-30,2.999488,3.125839,2.812531,2.865235,373676
61,UFC Fan Token,UFC11533-USD,2021-12-01,2.858342,3.00634,2.702417,2.789746,336333
