,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Croatian FF Fan Token,VATRENI-USD,2022-11-27,0.868413,0.999569,0.799733,0.869355,151209.0
1,Croatian FF Fan Token,VATRENI-USD,2022-11-28,0.869352,0.976855,0.801112,0.868406,47485.0
2,Croatian FF Fan Token,VATRENI-USD,2022-11-29,0.868407,0.894756,0.809786,0.888972,23819.0
3,Croatian FF Fan Token,VATRENI-USD,2022-11-30,0.888962,0.974726,0.764293,0.848813,36550.0
4,Croatian FF Fan Token,VATRENI-USD,2022-12-01,0.850424,0.890045,0.65004,0.806436,37284.0
5,Croatian FF Fan Token,VATRENI-USD,2022-12-02,0.806434,0.848269,0.758536,0.821353,16002.0
6,Croatian FF Fan Token,VATRENI-USD,2022-12-03,0.821345,0.889275,0.768757,0.81915,29722.0
7,Croatian FF Fan Token,VATRENI-USD,2022-12-04,0.81915,0.841844,0.8163,0.827699,7524.0
8,Croatian FF Fan Token,VATRENI-USD,2022-12-05,0.823303,0.867548,0.772162,0.826245,33162.0
9,Croatian FF Fan Token,VATRENI-USD,2022-12-06,0.826263,0.840965,0.783058,0.791061,14918.0
10,Croatian FF Fan Token,VATRENI-USD,2022-12-07,0.794152,0.799547,0.689,0.723702,20571.0
11,Croatian FF Fan Token,VATRENI-USD,2022-12-08,0.723711,0.766757,0.683456,0.729693,18549.0
12,Croatian FF Fan Token,VATRENI-USD,2022-12-09,0.729688,0.976781,0.551534,0.849548,81376.0
13,Croatian FF Fan Token,VATRENI-USD,2022-12-10,0.849552,0.859758,0.73443,0.781036,16060.0
14,Croatian FF Fan Token,VATRENI-USD,2022-12-11,0.781426,0.821271,0.774339,0.802763,45590.0
15,Croatian FF Fan Token,VATRENI-USD,2022-12-12,0.803069,0.818061,0.773267,0.788584,14649.0
16,Croatian FF Fan Token,VATRENI-USD,2022-12-13,0.788187,0.899893,0.68802,0.689512,48074.0
17,Croatian FF Fan Token,VATRENI-USD,2022-12-14,0.689819,0.730238,0.687026,0.729877,17516.0
18,Croatian FF Fan Token,VATRENI-USD,2022-12-15,0.72988,0.731501,0.723928,0.725357,2465.0
19,Croatian FF Fan Token,VATRENI-USD,2022-12-16,0.725356,0.725361,0.639083,0.643999,23087.0
20,Croatian FF Fan Token,VATRENI-USD,2022-12-17,0.645989,0.689084,0.619779,0.663407,20091.0
21,Croatian FF Fan Token,VATRENI-USD,2022-12-18,0.663389,0.663399,0.542373,0.551586,16106.0
22,Croatian FF Fan Token,VATRENI-USD,2022-12-19,0.551582,0.553795,0.0013,0.50664,22433.0
23,Croatian FF Fan Token,VATRENI-USD,2022-12-20,0.508237,0.510784,0.475077,0.496155,7034.0
24,Croatian FF Fan Token,VATRENI-USD,2022-12-21,0.496146,0.499938,0.475036,0.484937,7886.0
25,Croatian FF Fan Token,VATRENI-USD,2022-12-22,0.484938,0.49443,0.439997,0.473105,14716.0
26,Croatian FF Fan Token,VATRENI-USD,2022-12-23,0.473201,0.475822,0.471692,0.473991,11700.0
27,Croatian FF Fan Token,VATRENI-USD,2022-12-24,0.474291,0.474312,0.465179,0.465196,7905.0
28,Croatian FF Fan Token,VATRENI-USD,2022-12-25,0.465195,0.465224,0.462074,0.462673,1756.0
29,Croatian FF Fan Token,VATRENI-USD,2022-12-26,0.46267,0.462681,0.452868,0.455298,8352.0
30,Croatian FF Fan Token,VATRENI-USD,2022-12-27,0.454983,0.456395,0.439229,0.439234,9222.0
31,Croatian FF Fan Token,VATRENI-USD,2022-12-28,0.439236,0.439665,0.436994,0.439062,10629.0
32,Croatian FF Fan Token,VATRENI-USD,2022-12-29,0.439059,0.445462,0.436298,0.441283,12878.0
33,Croatian FF Fan Token,VATRENI-USD,2022-12-30,0.441281,0.448554,0.421769,0.433852,11836.0
34,Croatian FF Fan Token,VATRENI-USD,2022-12-31,0.433856,0.438777,0.42248,0.433059,12610.0
35,Croatian FF Fan Token,VATRENI-USD,2023-01-01,0.431162,0.438838,0.41754,0.423969,12272.0
36,Croatian FF Fan Token,VATRENI-USD,2023-01-02,0.424467,0.426563,0.403908,0.417005,12408.0
37,Croatian FF Fan Token,VATRENI-USD,2023-01-03,0.41621,0.426747,0.395799,0.398804,12449.0
38,Croatian FF Fan Token,VATRENI-USD,2023-01-04,0.397901,0.797859,0.352118,0.515778,20321.0
39,Croatian FF Fan Token,VATRENI-USD,2023-01-05,0.517673,0.744962,0.363426,0.463459,16957.0
40,Croatian FF Fan Token,VATRENI-USD,2023-01-06,0.465565,0.942908,0.44985,0.489672,42989.0
41,Croatian FF Fan Token,VATRENI-USD,2023-01-07,0.489369,0.699883,0.472174,0.499548,32081.0
42,Croatian FF Fan Token,VATRENI-USD,2023-01-08,0.499648,0.533977,0.487752,0.514878,13268.0
43,Croatian FF Fan Token,VATRENI-USD,2023-01-09,0.517171,0.518614,0.459975,0.467,12895.0
44,Croatian FF Fan Token,VATRENI-USD,2023-01-10,0.465299,0.649042,0.459987,0.578158,14702.0
45,Croatian FF Fan Token,VATRENI-USD,2023-01-11,0.574054,0.585643,0.531546,0.56311,12257.0
46,Croatian FF Fan Token,VATRENI-USD,2023-01-12,0.559834,0.631442,0.491146,0.580353,14690.0
47,Croatian FF Fan Token,VATRENI-USD,2023-01-13,0.57937,0.581283,0.560073,0.563621,12286.0
48,Croatian FF Fan Token,VATRENI-USD,2023-01-14,0.563616,0.68553,0.505496,0.648902,17549.0
49,Croatian FF Fan Token,VATRENI-USD,2023-01-15,0.648893,0.649922,0.59412,0.610828,14448.0
50,Croatian FF Fan Token,VATRENI-USD,2023-01-16,0.612113,0.623992,0.59441,0.612577,13514.0
51,Croatian FF Fan Token,VATRENI-USD,2023-01-17,0.61928,0.62396,0.580097,0.587461,13221.0
52,Croatian FF Fan Token,VATRENI-USD,2023-01-18,0.590063,0.600006,0.551487,0.588594,13988.0
53,Croatian FF Fan Token,VATRENI-USD,2023-01-19,0.586794,0.592308,0.581189,0.583914,12529.0
54,Croatian FF Fan Token,VATRENI-USD,2023-01-20,0.585603,0.617607,0.579151,0.604908,12468.0
55,Croatian FF Fan Token,VATRENI-USD,2023-01-21,0.604911,0.60682,0.558131,0.562122,13311.0
56,Croatian FF Fan Token,VATRENI-USD,2023-01-22,0.562126,0.612031,0.555597,0.609043,13509.0
57,Croatian FF Fan Token,VATRENI-USD,2023-01-23,0.608634,0.614079,0.568565,0.594522,14270.0
58,Croatian FF Fan Token,VATRENI-USD,2023-01-24,0.593619,0.596167,0.552458,0.577375,13356.0
59,Croatian FF Fan Token,VATRENI-USD,2023-01-25,0.577374,0.577831,0.565161,0.575601,12621.0
60,Croatian FF Fan Token,VATRENI-USD,2023-01-26,0.576411,0.597816,0.519492,0.572847,19405.0
61,Croatian FF Fan Token,VATRENI-USD,2023-01-27,0.57335,0.597628,0.553512,0.588407,13006.0
62,Croatian FF Fan Token,VATRENI-USD,2023-01-28,0.586003,0.597736,0.572551,0.587214,12358.0
63,Croatian FF Fan Token,VATRENI-USD,2023-01-29,0.587219,0.593552,0.558367,0.566156,12609.0
64,Croatian FF Fan Token,VATRENI-USD,2023-01-30,0.566151,0.584358,0.553946,0.554352,12260.0
65,Croatian FF Fan Token,VATRENI-USD,2023-01-31,0.554845,0.557905,0.543332,0.546664,12536.0
66,Croatian FF Fan Token,VATRENI-USD,2023-02-01,0.545875,0.551045,0.499063,0.504549,12936.0
67,Croatian FF Fan Token,VATRENI-USD,2023-02-02,0.508045,0.569831,0.472999,0.535575,15255.0
68,Croatian FF Fan Token,VATRENI-USD,2023-02-03,0.536376,0.589982,0.530378,0.584377,13184.0
69,Croatian FF Fan Token,VATRENI-USD,2023-02-04,0.581971,0.589949,0.53595,0.553655,13334.0
70,Croatian FF Fan Token,VATRENI-USD,2023-02-05,0.553452,0.580341,0.51409,0.580315,4826.0
71,Croatian FF Fan Token,VATRENI-USD,2023-02-06,0.580321,0.595154,0.44369,0.572259,30391.0
72,Croatian FF Fan Token,VATRENI-USD,2023-02-07,0.576255,0.579734,0.544247,0.553242,12440.0
73,Croatian FF Fan Token,VATRENI-USD,2023-02-08,0.550948,0.578452,0.410043,0.546872,20606.0
74,Croatian FF Fan Token,VATRENI-USD,2023-02-09,0.54527,0.551475,0.515892,0.521583,10918.0
75,Croatian FF Fan Token,VATRENI-USD,2023-02-10,0.524282,0.539028,0.454095,0.45947,14657.0
76,Croatian FF Fan Token,VATRENI-USD,2023-02-11,0.451395,0.557669,0.420049,0.538788,18784.0
77,Croatian FF Fan Token,VATRENI-USD,2023-02-12,0.538879,0.541709,0.496804,0.512008,12553.0
78,Croatian FF Fan Token,VATRENI-USD,2023-02-13,0.512509,0.513486,0.487506,0.50397,13184.0
79,Croatian FF Fan Token,VATRENI-USD,2023-02-14,0.505266,0.510446,0.494048,0.504304,12665.0
80,Croatian FF Fan Token,VATRENI-USD,2023-02-15,0.505805,0.510761,0.463116,0.494608,13293.0
81,Croatian FF Fan Token,VATRENI-USD,2023-02-16,0.493811,0.497903,0.370076,0.416068,19115.0
82,Croatian FF Fan Token,VATRENI-USD,2023-02-17,0.416868,0.454494,0.190038,0.395086,16652.0
83,Croatian FF Fan Token,VATRENI-USD,2023-02-18,0.395085,0.411383,0.347579,0.38667,13797.0
84,Croatian FF Fan Token,VATRENI-USD,2023-02-19,0.38667,0.393272,0.308368,0.330078,13191.0
85,Croatian FF Fan Token,VATRENI-USD,2023-02-20,0.327781,0.355065,0.29226,0.345165,14014.0
86,Croatian FF Fan Token,VATRENI-USD,2023-02-21,0.344062,0.348668,0.324644,0.342945,12397.0
87,Croatian FF Fan Token,VATRENI-USD,2023-02-22,0.34385,0.350975,0.314736,0.315431,12522.0
88,Croatian FF Fan Token,VATRENI-USD,2023-02-23,0.31693,0.337151,0.283543,0.330641,13151.0
89,Croatian FF Fan Token,VATRENI-USD,2023-02-24,0.330639,0.333547,0.273827,0.28632,12742.0
90,Croatian FF Fan Token,VATRENI-USD,2023-02-25,0.286321,0.332128,0.282723,0.320042,13362.0
91,Croatian FF Fan Token,VATRENI-USD,2023-02-26,0.319942,0.41746,0.311339,0.382133,13075.0
92,Croatian FF Fan Token,VATRENI-USD,2023-02-27,0.383931,0.49004,0.311045,0.326757,15284.0
93,Croatian FF Fan Token,VATRENI-USD,2023-02-28,0.328246,0.440263,0.31954,0.432067,13536.0
94,Croatian FF Fan Token,VATRENI-USD,2023-03-01,0.432873,0.447956,0.335056,0.377553,13225.0
95,Croatian FF Fan Token,VATRENI-USD,2023-03-02,0.375349,0.391251,0.343229,0.363933,12919.0
96,Croatian FF Fan Token,VATRENI-USD,2023-03-03,0.363931,0.36904,0.353009,0.360436,12652.0
97,Croatian FF Fan Token,VATRENI-USD,2023-03-04,0.361035,0.405244,0.350137,0.381744,17465.0
98,Croatian FF Fan Token,VATRENI-USD,2023-03-05,0.386946,0.410446,0.359149,0.368839,12503.0
99,Croatian FF Fan Token,VATRENI-USD,2023-03-06,0.368836,0.394539,0.331009,0.365804,13287.0
100,Croatian FF Fan Token,VATRENI-USD,2023-03-07,0.364506,0.391401,0.349997,0.364705,12329.0
101,Croatian FF Fan Token,VATRENI-USD,2023-03-08,0.362306,0.3713,0.344593,0.345702,11327.0
102,Croatian FF Fan Token,VATRENI-USD,2023-03-09,0.345702,0.346398,0.310965,0.317795,12475.0
103,Croatian FF Fan Token,VATRENI-USD,2023-03-10,0.314693,0.32297,0.240297,0.268516,16390.0
104,Croatian FF Fan Token,VATRENI-USD,2023-03-11,0.26851,0.332116,0.2369,0.314569,14419.0
105,Croatian FF Fan Token,VATRENI-USD,2023-03-12,0.314821,0.327991,0.298464,0.326216,12681.0
106,Croatian FF Fan Token,VATRENI-USD,2023-03-13,0.324717,0.326005,0.258411,0.264113,14006.0
107,Croatian FF Fan Token,VATRENI-USD,2023-03-14,0.265111,0.380906,0.252748,0.307705,15068.0
108,Croatian FF Fan Token,VATRENI-USD,2023-03-15,0.307693,0.324983,0.284287,0.323723,12894.0
109,Croatian FF Fan Token,VATRENI-USD,2023-03-16,0.323636,0.324496,0.293015,0.29885,13050.0
110,Croatian FF Fan Token,VATRENI-USD,2023-03-17,0.302448,0.313518,0.29061,0.303764,12996.0
111,Croatian FF Fan Token,VATRENI-USD,2023-03-18,0.301143,0.561687,0.29522,0.535598,28470.0
112,Croatian FF Fan Token,VATRENI-USD,2023-03-19,0.542409,0.561579,0.445562,0.458947,31182.0
113,Croatian FF Fan Token,VATRENI-USD,2023-03-20,0.455835,0.62119,0.442514,0.61704,19309.0
114,Croatian FF Fan Token,VATRENI-USD,2023-03-21,0.617072,0.620903,0.458518,0.471047,19540.0
115,Croatian FF Fan Token,VATRENI-USD,2023-03-22,0.471053,0.486306,0.411859,0.445507,16473.0
116,Croatian FF Fan Token,VATRENI-USD,2023-03-23,0.445481,0.511001,0.44241,0.463585,15102.0
117,Croatian FF Fan Token,VATRENI-USD,2023-03-24,0.462802,0.505342,0.450302,0.483028,13561.0
118,Croatian FF Fan Token,VATRENI-USD,2023-03-25,0.490242,0.585486,0.331211,0.400723,20704.0
119,Croatian FF Fan Token,VATRENI-USD,2023-03-26,0.409433,0.465808,0.362692,0.425532,16771.0
120,Croatian FF Fan Token,VATRENI-USD,2023-03-27,0.425538,0.432688,0.321102,0.404891,20390.0
121,Croatian FF Fan Token,VATRENI-USD,2023-03-28,0.405189,0.493109,0.357946,0.429848,25612.0
122,Croatian FF Fan Token,VATRENI-USD,2023-03-29,0.429832,0.44708,0.360079,0.377835,16699.0
123,Croatian FF Fan Token,VATRENI-USD,2023-03-30,0.378139,0.393223,0.341006,0.370063,15592.0
124,Croatian FF Fan Token,VATRENI-USD,2023-03-31,0.371668,0.394458,0.334967,0.33711,16061.0
125,Croatian FF Fan Token,VATRENI-USD,2023-04-01,0.337905,0.372553,0.277067,0.351174,22126.0
126,Croatian FF Fan Token,VATRENI-USD,2023-04-02,0.355526,0.379915,0.347697,0.349176,15525.0
127,Croatian FF Fan Token,VATRENI-USD,2023-04-03,0.349671,0.366212,0.342263,0.342299,15590.0
128,Croatian FF Fan Token,VATRENI-USD,2023-04-04,0.349094,0.365116,0.343965,0.353494,14675.0
129,Croatian FF Fan Token,VATRENI-USD,2023-04-05,0.356689,0.358115,0.325673,0.340212,14425.0
130,Croatian FF Fan Token,VATRENI-USD,2023-04-06,0.342225,0.345721,0.31757,0.329543,14845.0
131,Croatian FF Fan Token,VATRENI-USD,2023-04-07,0.330226,0.368052,0.327817,0.353142,15330.0
132,Croatian FF Fan Token,VATRENI-USD,2023-04-08,0.352933,0.360131,0.334733,0.341264,15430.0
133,Croatian FF Fan Token,VATRENI-USD,2023-04-09,0.345576,0.347838,0.326469,0.331147,14709.0
134,Croatian FF Fan Token,VATRENI-USD,2023-04-10,0.331154,0.341967,0.320562,0.337285,15206.0
135,Croatian FF Fan Token,VATRENI-USD,2023-04-11,0.337703,0.360117,0.336432,0.348991,14950.0
136,Croatian FF Fan Token,VATRENI-USD,2023-04-12,0.347502,0.357564,0.339145,0.349486,14429.0
137,Croatian FF Fan Token,VATRENI-USD,2023-04-13,0.346879,0.357803,0.340639,0.35427,15395.0
138,Croatian FF Fan Token,VATRENI-USD,2023-04-14,0.352487,0.358754,0.329271,0.337002,15876.0
139,Croatian FF Fan Token,VATRENI-USD,2023-04-15,0.333901,0.349149,0.321178,0.332585,15760.0
140,Croatian FF Fan Token,VATRENI-USD,2023-04-16,0.332582,0.342284,0.32071,0.327365,14850.0
141,Croatian FF Fan Token,VATRENI-USD,2023-04-17,0.327367,0.335612,0.315166,0.326492,15348.0
142,Croatian FF Fan Token,VATRENI-USD,2023-04-18,0.328082,0.357936,0.317039,0.346732,15752.0
143,Croatian FF Fan Token,VATRENI-USD,2023-04-19,0.347939,0.357704,0.316989,0.323811,16295.0
144,Croatian FF Fan Token,VATRENI-USD,2023-04-20,0.321411,0.337655,0.31864,0.327839,14650.0
145,Croatian FF Fan Token,VATRENI-USD,2023-04-21,0.326837,0.335572,0.325631,0.332744,14706.0
146,Croatian FF Fan Token,VATRENI-USD,2023-04-22,0.332749,0.357439,0.32876,0.344643,15243.0
147,Croatian FF Fan Token,VATRENI-USD,2023-04-23,0.341441,0.351802,0.327996,0.329181,15030.0
148,Croatian FF Fan Token,VATRENI-USD,2023-04-24,0.329294,0.350646,0.325789,0.337055,15217.0
149,Croatian FF Fan Token,VATRENI-USD,2023-04-25,0.337056,0.348605,0.326413,0.333726,14569.0
150,Croatian FF Fan Token,VATRENI-USD,2023-04-26,0.332731,0.351213,0.30019,0.310725,16430.0
151,Croatian FF Fan Token,VATRENI-USD,2023-04-27,0.310722,0.338899,0.310597,0.335757,14648.0
152,Croatian FF Fan Token,VATRENI-USD,2023-04-28,0.335359,0.343212,0.315291,0.328351,15414.0
153,Croatian FF Fan Token,VATRENI-USD,2023-04-29,0.328368,0.340295,0.325411,0.33209,14725.0
154,Croatian FF Fan Token,VATRENI-USD,2023-04-30,0.331683,0.362928,0.316793,0.341639,15135.0
155,Croatian FF Fan Token,VATRENI-USD,2023-05-01,0.341637,0.362975,0.334238,0.345311,15183.0
156,Croatian FF Fan Token,VATRENI-USD,2023-05-02,0.345312,0.347422,0.317581,0.318918,15000.0
157,Croatian FF Fan Token,VATRENI-USD,2023-05-03,0.320531,0.371969,0.315178,0.346514,15052.0
158,Croatian FF Fan Token,VATRENI-USD,2023-05-04,0.348213,0.357644,0.280248,0.301773,18509.0
159,Croatian FF Fan Token,VATRENI-USD,2023-05-05,0.301469,0.316471,0.289513,0.291302,15557.0
160,Croatian FF Fan Token,VATRENI-USD,2023-05-06,,,,,
161,Croatian FF Fan Token,VATRENI-USD,2023-05-07,0.294754,0.295194,0.28898,0.290086,14262.0
