,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Valencia CF Fan Token,VCF-USD,2021-09-14,2.824381,2.881196,2.634553,2.713135,0
1,Valencia CF Fan Token,VCF-USD,2021-09-15,2.713281,3.045457,2.635527,2.872582,0
2,Valencia CF Fan Token,VCF-USD,2021-09-16,2.873885,4.306849,2.765984,3.442242,0
3,Valencia CF Fan Token,VCF-USD,2021-09-17,3.443019,3.983541,3.163093,3.379822,0
4,Valencia CF Fan Token,VCF-USD,2021-09-18,3.384815,3.537373,3.306004,3.433795,0
5,Valencia CF Fan Token,VCF-USD,2021-09-19,3.436956,3.59685,3.224515,3.298153,0
6,Valencia CF Fan Token,VCF-USD,2021-09-20,3.296671,3.296671,2.676588,2.728661,0
7,Valencia CF Fan Token,VCF-USD,2021-09-21,2.720154,2.957846,2.510084,2.649679,0
8,Valencia CF Fan Token,VCF-USD,2021-09-22,2.651825,2.860184,2.540386,2.73293,0
9,Valencia CF Fan Token,VCF-USD,2021-09-23,2.732113,2.886849,2.554209,2.697428,0
10,Valencia CF Fan Token,VCF-USD,2021-09-24,2.696668,2.827054,2.367333,2.562204,0
11,Valencia CF Fan Token,VCF-USD,2021-09-25,2.565399,2.702874,2.434331,2.558443,0
12,Valencia CF Fan Token,VCF-USD,2021-09-26,2.556293,2.556293,2.293467,2.44562,0
13,Valencia CF Fan Token,VCF-USD,2021-09-27,2.443642,2.604394,2.308544,2.375076,0
14,Valencia CF Fan Token,VCF-USD,2021-09-28,2.376149,2.442945,2.260601,2.270705,0
15,Valencia CF Fan Token,VCF-USD,2021-09-29,2.273329,2.443547,2.215884,2.324181,0
16,Valencia CF Fan Token,VCF-USD,2021-09-30,2.326899,2.470204,2.241559,2.334174,0
17,Valencia CF Fan Token,VCF-USD,2021-10-01,2.335094,2.612836,2.242403,2.529045,0
18,Valencia CF Fan Token,VCF-USD,2021-10-02,2.522958,2.689951,2.356627,2.387957,0
19,Valencia CF Fan Token,VCF-USD,2021-10-03,2.385043,2.490327,2.269547,2.348307,0
20,Valencia CF Fan Token,VCF-USD,2021-10-04,2.347453,2.347692,2.222831,2.310122,0
21,Valencia CF Fan Token,VCF-USD,2021-10-05,2.310322,2.496875,2.274171,2.392486,0
22,Valencia CF Fan Token,VCF-USD,2021-10-06,2.397209,2.538284,2.211492,2.404748,0
23,Valencia CF Fan Token,VCF-USD,2021-10-07,2.400305,2.890381,2.301871,2.769924,0
24,Valencia CF Fan Token,VCF-USD,2021-10-08,2.755344,2.812726,2.518959,2.56805,0
25,Valencia CF Fan Token,VCF-USD,2021-10-09,2.577837,2.655331,2.517151,2.521136,0
26,Valencia CF Fan Token,VCF-USD,2021-10-10,2.533027,2.569321,2.415769,2.439415,0
27,Valencia CF Fan Token,VCF-USD,2021-10-11,2.438414,2.540278,2.302955,2.369723,0
28,Valencia CF Fan Token,VCF-USD,2021-10-12,2.369602,2.845455,2.22825,2.662308,0
29,Valencia CF Fan Token,VCF-USD,2021-10-13,2.657232,2.829064,2.533618,2.717691,0
30,Valencia CF Fan Token,VCF-USD,2021-10-14,2.717816,2.804792,2.633902,2.675569,0
31,Valencia CF Fan Token,VCF-USD,2021-10-15,2.64514,2.70656,2.52259,2.577498,0
32,Valencia CF Fan Token,VCF-USD,2021-10-16,2.575172,2.747167,2.566318,2.661136,0
33,Valencia CF Fan Token,VCF-USD,2021-10-17,2.662061,2.838949,2.450316,2.536102,0
34,Valencia CF Fan Token,VCF-USD,2021-10-18,2.535331,2.609443,2.43758,2.514087,0
35,Valencia CF Fan Token,VCF-USD,2021-10-19,2.511752,2.539388,2.396217,2.452955,0
36,Valencia CF Fan Token,VCF-USD,2021-10-20,2.454993,2.49195,2.32164,2.368084,0
37,Valencia CF Fan Token,VCF-USD,2021-10-21,2.368631,2.467028,2.176193,2.27119,0
38,Valencia CF Fan Token,VCF-USD,2021-10-22,2.269024,2.599728,1.948741,2.47306,0
39,Valencia CF Fan Token,VCF-USD,2021-10-23,2.470049,2.712395,2.38558,2.606662,0
40,Valencia CF Fan Token,VCF-USD,2021-10-24,2.608153,2.648118,2.448717,2.548232,0
41,Valencia CF Fan Token,VCF-USD,2021-10-25,2.548131,2.717946,2.533252,2.646815,0
42,Valencia CF Fan Token,VCF-USD,2021-10-26,2.648348,2.710502,2.499506,2.637222,0
43,Valencia CF Fan Token,VCF-USD,2021-10-27,2.635152,2.810295,2.106059,2.252288,0
44,Valencia CF Fan Token,VCF-USD,2021-10-28,2.261706,2.417082,2.191783,2.319243,0
45,Valencia CF Fan Token,VCF-USD,2021-10-29,2.319202,2.437052,2.139336,2.27137,0
46,Valencia CF Fan Token,VCF-USD,2021-10-30,2.274973,3.080015,2.136368,2.319687,0
47,Valencia CF Fan Token,VCF-USD,2021-10-31,2.26058,2.923647,1.844739,2.105087,0
48,Valencia CF Fan Token,VCF-USD,2021-11-01,2.105542,2.34846,1.973707,2.117568,0
49,Valencia CF Fan Token,VCF-USD,2021-11-02,2.121549,2.369112,2.011676,2.18147,0
50,Valencia CF Fan Token,VCF-USD,2021-11-03,2.181688,2.243392,1.966904,2.081741,0
51,Valencia CF Fan Token,VCF-USD,2021-11-04,2.086579,2.208551,1.843625,1.967399,194413
