,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Team Vitality Fan Token,VIT-USD,2021-07-22,2.261662,2.297267,1.787807,2.244418,0
1,Team Vitality Fan Token,VIT-USD,2021-07-23,2.243192,2.311394,2.153236,2.283431,0
2,Team Vitality Fan Token,VIT-USD,2021-07-24,2.285609,2.499182,2.263028,2.352492,0
3,Team Vitality Fan Token,VIT-USD,2021-07-25,2.35405,2.395438,2.264002,2.354746,0
4,Team Vitality Fan Token,VIT-USD,2021-07-26,2.354397,2.511041,2.281561,2.348458,0
5,Team Vitality Fan Token,VIT-USD,2021-07-27,2.344911,2.405697,2.244983,2.336363,0
6,Team Vitality Fan Token,VIT-USD,2021-07-28,2.336502,2.434344,2.281336,2.330214,0
7,Team Vitality Fan Token,VIT-USD,2021-07-29,2.329075,2.410601,2.310126,2.371581,0
8,Team Vitality Fan Token,VIT-USD,2021-07-30,2.374584,2.489893,2.32278,2.462014,0
9,Team Vitality Fan Token,VIT-USD,2021-07-31,2.467911,2.488881,2.395811,2.470746,0
10,Team Vitality Fan Token,VIT-USD,2021-08-01,2.465612,2.574894,2.402181,2.426788,0
11,Team Vitality Fan Token,VIT-USD,2021-08-02,2.423651,2.539763,2.159477,2.368074,0
12,Team Vitality Fan Token,VIT-USD,2021-08-03,2.372119,2.372119,2.087214,2.250504,0
13,Team Vitality Fan Token,VIT-USD,2021-08-04,2.249734,2.471964,2.222765,2.364879,0
14,Team Vitality Fan Token,VIT-USD,2021-08-05,2.362731,2.412654,2.123853,2.233283,0
15,Team Vitality Fan Token,VIT-USD,2021-08-06,2.23274,2.309397,1.959761,2.089022,0
16,Team Vitality Fan Token,VIT-USD,2021-08-07,2.088709,2.246559,1.838203,1.920586,0
17,Team Vitality Fan Token,VIT-USD,2021-08-08,1.914669,2.04041,1.45045,1.709104,0
18,Team Vitality Fan Token,VIT-USD,2021-08-09,1.712129,2.240844,1.473984,1.882061,0
19,Team Vitality Fan Token,VIT-USD,2021-08-10,1.883523,2.216392,1.755006,1.902447,0
20,Team Vitality Fan Token,VIT-USD,2021-08-11,1.904523,2.094972,1.642093,1.670464,0
21,Team Vitality Fan Token,VIT-USD,2021-08-12,1.666407,1.817018,1.436525,1.704932,0
22,Team Vitality Fan Token,VIT-USD,2021-08-13,1.70397,2.016261,1.560755,1.777899,0
23,Team Vitality Fan Token,VIT-USD,2021-08-14,1.773455,2.04489,1.709481,1.88178,0
24,Team Vitality Fan Token,VIT-USD,2021-08-15,1.883365,1.972605,1.71966,1.950225,0
25,Team Vitality Fan Token,VIT-USD,2021-08-16,1.949765,2.029981,1.705128,1.833729,0
26,Team Vitality Fan Token,VIT-USD,2021-08-17,1.830128,1.934534,1.666209,1.686512,0
27,Team Vitality Fan Token,VIT-USD,2021-08-18,1.687828,1.74597,1.538277,1.597011,0
28,Team Vitality Fan Token,VIT-USD,2021-08-19,1.593272,1.694799,1.522151,1.68513,0
29,Team Vitality Fan Token,VIT-USD,2021-08-20,1.687442,1.803038,1.536375,1.603911,0
30,Team Vitality Fan Token,VIT-USD,2021-08-21,1.603841,1.974104,1.541948,1.779971,0
31,Team Vitality Fan Token,VIT-USD,2021-08-22,1.771326,1.923801,1.656236,1.717054,0
32,Team Vitality Fan Token,VIT-USD,2021-08-23,1.715857,1.955474,1.610174,1.8338,0
33,Team Vitality Fan Token,VIT-USD,2021-08-24,1.836835,1.842898,1.522654,1.640434,0
34,Team Vitality Fan Token,VIT-USD,2021-08-25,1.636391,1.702584,1.53489,1.600873,0
35,Team Vitality Fan Token,VIT-USD,2021-08-26,1.602505,1.648277,1.299923,1.552068,0
36,Team Vitality Fan Token,VIT-USD,2021-08-27,1.552285,1.745826,1.491236,1.661595,0
37,Team Vitality Fan Token,VIT-USD,2021-08-28,1.664169,1.708874,1.493417,1.544446,0
38,Team Vitality Fan Token,VIT-USD,2021-08-29,1.544159,1.631454,1.431336,1.584218,0
39,Team Vitality Fan Token,VIT-USD,2021-08-30,1.578486,1.970826,1.489937,1.564155,0
40,Team Vitality Fan Token,VIT-USD,2021-08-31,1.562527,1.791133,1.499102,1.675376,0
41,Team Vitality Fan Token,VIT-USD,2021-09-01,1.675376,1.875113,1.408135,1.648317,0
42,Team Vitality Fan Token,VIT-USD,2021-09-02,1.650279,1.870224,1.353615,1.685832,0
43,Team Vitality Fan Token,VIT-USD,2021-09-03,1.686031,1.777576,1.391972,1.533208,0
44,Team Vitality Fan Token,VIT-USD,2021-09-04,1.533876,1.755165,1.472915,1.623844,0
45,Team Vitality Fan Token,VIT-USD,2021-09-05,1.62479,1.681625,1.465217,1.515852,0
46,Team Vitality Fan Token,VIT-USD,2021-09-06,1.515124,1.729421,1.467119,1.524889,0
47,Team Vitality Fan Token,VIT-USD,2021-09-07,1.526934,1.650266,1.129016,1.314764,0
48,Team Vitality Fan Token,VIT-USD,2021-09-08,1.31489,1.354814,1.146487,1.28376,0
49,Team Vitality Fan Token,VIT-USD,2021-09-09,1.273155,1.362363,1.172676,1.278214,0
50,Team Vitality Fan Token,VIT-USD,2021-09-10,1.27815,1.313294,1.128487,1.200272,0
51,Team Vitality Fan Token,VIT-USD,2021-09-11,1.200276,1.363615,1.189393,1.314991,0
52,Team Vitality Fan Token,VIT-USD,2021-09-12,1.317386,1.521779,1.259617,1.323006,0
53,Team Vitality Fan Token,VIT-USD,2021-09-13,1.322476,1.568966,1.233882,1.562323,0
54,Team Vitality Fan Token,VIT-USD,2021-09-14,1.563004,1.578313,1.330325,1.466104,0
55,Team Vitality Fan Token,VIT-USD,2021-09-15,1.466183,1.644253,1.380396,1.616695,0
56,Team Vitality Fan Token,VIT-USD,2021-09-16,1.617428,5.157477,1.232404,1.991101,0
57,Team Vitality Fan Token,VIT-USD,2021-09-17,1.99155,2.287899,1.793597,1.88309,0
58,Team Vitality Fan Token,VIT-USD,2021-09-18,1.885872,2.094623,1.878547,2.03861,0
59,Team Vitality Fan Token,VIT-USD,2021-09-19,2.040487,2.075891,1.799835,1.85165,0
60,Team Vitality Fan Token,VIT-USD,2021-09-20,1.850818,1.850818,0.0,1.579324,0
61,Team Vitality Fan Token,VIT-USD,2021-09-21,1.574401,1.703316,1.416575,1.431583,0
62,Team Vitality Fan Token,VIT-USD,2021-09-22,1.444285,1.649012,1.393381,1.578683,0
63,Team Vitality Fan Token,VIT-USD,2021-09-23,1.580268,1.710497,1.457434,1.543923,0
64,Team Vitality Fan Token,VIT-USD,2021-09-24,1.543487,1.596856,1.348379,1.502824,0
65,Team Vitality Fan Token,VIT-USD,2021-09-25,1.503843,1.595143,1.381129,1.561585,0
66,Team Vitality Fan Token,VIT-USD,2021-09-26,1.558906,1.581574,1.409997,1.491437,0
67,Team Vitality Fan Token,VIT-USD,2021-09-27,1.490417,1.632966,1.459861,1.484104,0
68,Team Vitality Fan Token,VIT-USD,2021-09-28,1.484774,1.529681,1.368978,1.386839,0
69,Team Vitality Fan Token,VIT-USD,2021-09-29,1.388442,1.457631,1.331903,1.365114,0
70,Team Vitality Fan Token,VIT-USD,2021-09-30,1.36671,1.544428,1.361958,1.423532,0
71,Team Vitality Fan Token,VIT-USD,2021-10-01,1.424093,1.721737,1.345311,1.664907,0
72,Team Vitality Fan Token,VIT-USD,2021-10-02,1.660899,1.672795,1.389968,1.492473,0
73,Team Vitality Fan Token,VIT-USD,2021-10-03,1.490652,1.571005,1.41033,1.475587,0
74,Team Vitality Fan Token,VIT-USD,2021-10-04,1.47505,1.533169,1.318249,1.460812,0
75,Team Vitality Fan Token,VIT-USD,2021-10-05,1.460939,1.534661,1.201696,1.42388,0
76,Team Vitality Fan Token,VIT-USD,2021-10-06,1.426691,1.494144,0.948193,1.32079,0
77,Team Vitality Fan Token,VIT-USD,2021-10-07,1.318349,1.596469,1.227241,1.470851,0
78,Team Vitality Fan Token,VIT-USD,2021-10-08,1.463109,1.557005,1.260412,1.363861,0
79,Team Vitality Fan Token,VIT-USD,2021-10-09,1.369059,1.465228,1.252314,1.374266,0
80,Team Vitality Fan Token,VIT-USD,2021-10-10,1.380748,1.470405,1.268593,1.278526,0
81,Team Vitality Fan Token,VIT-USD,2021-10-11,1.278001,1.331846,1.188615,1.237316,0
82,Team Vitality Fan Token,VIT-USD,2021-10-12,1.237253,1.368323,1.138006,1.316942,0
83,Team Vitality Fan Token,VIT-USD,2021-10-13,1.314431,1.476296,1.198712,1.331047,0
84,Team Vitality Fan Token,VIT-USD,2021-10-14,1.331108,1.390908,1.253249,1.338664,0
85,Team Vitality Fan Token,VIT-USD,2021-10-15,1.33831,1.40665,1.257661,1.344782,0
86,Team Vitality Fan Token,VIT-USD,2021-10-16,1.343568,1.368755,1.245259,1.322365,0
