,Club_Name,Token_Name,Date,Open,High,Low,Close,Volume
0,Young Boys Fan Token,YBO-USD,2021-01-27,3.662673,3.662673,2.670704,2.718879,316557.0
1,Young Boys Fan Token,YBO-USD,2021-01-28,2.720009,3.198986,2.664243,2.77866,168340.0
2,Young Boys Fan Token,YBO-USD,2021-01-29,2.778187,2.929605,2.475691,2.625723,142796.0
3,Young Boys Fan Token,YBO-USD,2021-01-30,2.627516,2.795072,2.51436,2.633055,135781.0
4,Young Boys Fan Token,YBO-USD,2021-01-31,2.649137,2.806219,2.261138,2.55719,135231.0
5,Young Boys Fan Token,YBO-USD,2021-02-01,2.560208,2.700145,2.133561,2.537564,127703.0
6,Young Boys Fan Token,YBO-USD,2021-02-02,2.541995,2.728075,2.332127,2.392362,129836.0
7,Young Boys Fan Token,YBO-USD,2021-02-03,2.394902,2.693757,2.341969,2.526233,127830.0
8,Young Boys Fan Token,YBO-USD,2021-02-04,2.525669,2.59213,2.161071,2.167022,123244.0
9,Young Boys Fan Token,YBO-USD,2021-02-05,2.166876,2.381431,1.30479,2.07249,130280.0
10,Young Boys Fan Token,YBO-USD,2021-02-06,2.063499,2.181923,1.677005,2.126498,102997.0
11,Young Boys Fan Token,YBO-USD,2021-02-07,2.127678,2.127678,1.754793,1.964475,100140.0
12,Young Boys Fan Token,YBO-USD,2021-02-08,1.965071,2.054909,1.782959,1.933918,101777.0
13,Young Boys Fan Token,YBO-USD,2021-02-09,1.933453,2.222758,1.798759,1.977038,113237.0
14,Young Boys Fan Token,YBO-USD,2021-02-10,1.978675,2.30203,1.829097,2.163933,111720.0
15,Young Boys Fan Token,YBO-USD,2021-02-11,2.166929,2.340335,1.815323,1.955281,107886.0
16,Young Boys Fan Token,YBO-USD,2021-02-12,1.969658,2.420276,1.944018,2.263979,118063.0
17,Young Boys Fan Token,YBO-USD,2021-02-13,2.260139,2.547527,1.948896,2.453799,125983.0
18,Young Boys Fan Token,YBO-USD,2021-02-14,2.453739,2.601985,1.97626,2.189455,111622.0
19,Young Boys Fan Token,YBO-USD,2021-02-15,2.19344,2.440381,1.730062,2.143237,107918.0
20,Young Boys Fan Token,YBO-USD,2021-02-16,2.145143,2.34149,2.033515,2.185433,106094.0
21,Young Boys Fan Token,YBO-USD,2021-02-17,2.18641,2.390454,2.013467,2.193477,101087.0
22,Young Boys Fan Token,YBO-USD,2021-02-18,2.194041,2.423064,2.126657,2.382236,0.0
23,Young Boys Fan Token,YBO-USD,2021-02-19,2.378987,3.466866,1.769354,2.673568,0.0
