season;Date;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
18/19;Jul 1, 18;Kylian Mbappe;19;120000000;Monaco;Paris Saint-Germain;180000000
18/19;Jul 10, 18;Cristiano Ronaldo;33;100000000;Real Madrid;Juventus;117000000
18/19;Jul 1, 18;Thomas Lemar;22;65000000;Monaco;Atletico De Madrid;72000000
18/19;Jul 10, 18;Riyad Mahrez;27;50000000;Leicester;Manchester City;67800000
18/19;Jul 19, 18;Alisson;25;60000000;AS Roma;Liverpool;62500000
18/19;Jul 14, 18;Jorginho;26;50000000;Napoli;Chelsea;57000000
18/19;Jan 1, 19;Paulinho;30;38000000;FC Barcelona;GZ Evergrande;42000000
18/19;Jul 1, 18;Patrik Schick;22;20000000;Sampdoria;AS Roma;42000000
18/19;Jul 24, 18;Malcom;21;45000000;G. Bordeaux;FC Barcelona;41000000
18/19;Jul 1, 18;Joao Cancelo;24;35000000;Valencia;Juventus;40400000
18/19;Jul 1, 18;Douglas Costa;27;55000000;Bayern Munich;Juventus;40000000
18/19;Aug 27, 18;Goncalo Guedes;21;40000000;Paris Saint-Germain;Valencia;40000000
18/19;Jan 29, 19;Leandro Paredes;24;25000000;Zenit S-Pb;Paris Saint-Germain;40000000
18/19;Jan 3, 19;Lucas Paqueta;21;15000000;Flamengo;AC Milan;38400000
18/19;Jul 1, 18;Radja Nainggolan;30;45000000;AS Roma;Inter;38000000
18/19;Aug 2, 18;Mattia Caldara;24;25000000;Juventus;AC Milan;37740000
18/19;Aug 16, 18;Thilo Kehrer;21;18000000;FC Schalke 04;Paris Saint-Germain;37000000
18/19;Jul 12, 18;Clement Lenglet;23;36000000;Sevilla FC;FC Barcelona;35900000
18/19;Aug 2, 18;Leonardo Bonucci;31;35000000;AC Milan;Juventus;35000000
18/19;Jan 23, 19;Krzysztof Piatek;23;15000000;Genoa;AC Milan;35000000
18/19;Jul 9, 18;Arthur Melo;21;30000000;Gremio;FC Barcelona;31000000
18/19;Aug 9, 18;Yerry Mina;23;20000000;FC Barcelona;Everton;30250000
18/19;Jul 5, 18;Fabian Ruiz;22;20000000;Real Betis;Napoli;30000000
18/19;Jul 10, 18;Lucas Torreira;22;30000000;Sampdoria;Arsenal;28650000
18/19;Aug 14, 18;Steven Nzonzi;29;30000000;Sevilla FC;AS Roma;26650000
18/19;Aug 28, 18;Kevin Strootman;28;28000000;AS Roma;Marseille;25000000
18/19;Jul 1, 18;Bernd Leno;26;20000000;B. Leverkusen;Arsenal;25000000
19/20;Jul 3, 19;Joao Felix;19;70000000;Benfica;Atletico De Madrid;127200000
19/20;Jul 14, 19;Antoine Griezmann;28;130000000;Atletico De Madrid;FC Barcelona;120000000
19/20;Jul 1, 19;Frenkie de Jong;22;85000000;Ajax;FC Barcelona;86000000
19/20;Jul 18, 19;Matthijs de Ligt;19;75000000;Ajax;Juventus;85500000
19/20;Jul 1, 19;Lucas Hernandez;23;70000000;Atletico De Madrid;Bayern Munich;80000000
19/20;Aug 1, 19;Nicolas Pepe;24;65000000;LOSC Lille;Arsenal;80000000
19/20;Jul 4, 19;Rodri;23;80000000;Atletico De Madrid;Manchester City;70000000
19/20;Aug 7, 19;Joao Cancelo;25;55000000;Juventus;Manchester City;65000000
19/20;Jul 1, 19;Eder Militao;21;50000000;FC Porto;Real Madrid;50000000
19/20;Aug 23, 19;Hirving Lozano;24;40000000;PSV Eindhoven;Napoli;45000000
19/20;Aug 2, 19;Malcom;22;40000000;FC Barcelona;Zenit S-Pb;40000000
19/20;Aug 7, 19;Danilo;28;20000000;Manchester City;Juventus;37000000
19/20;Jul 1, 19;Konstantinos Manolas;28;45000000;AS Roma;Napoli;36000000
19/20;Jan 2, 20;Dejan Kulusevski;19;25000000;Atalanta BC;Juventus;35000000
19/20;Jul 1, 19;Jasper Cillessen;30;18000000;FC Barcelona;Valencia;35000000
19/20;Jul 16, 19;Abdou Diallo;23;35000000;Bor. Dortmund;Paris Saint-Germain;32000000
19/20;Jul 1, 19;Franck Kessie;22;33000000;Atalanta BC;AC Milan;32000000
19/20;Jul 12, 19;Cristian Romero;21;15000000;Genoa;Juventus;31500000
19/20;Aug 8, 19;Alex Iwobi;23;25000000;Arsenal;Everton;30400000
